Description,Category
SWIGGY ONLINE PAYMENT,Food
SWIGGY INSTAMART,Food
SWIGGY FOOD ORDER,Food
ZOMATO ONLINE PAYMENT,Food
ZOMATO GROCERY,Food
DOMINOS PIZZA,Food
PIZZA HUT,Food
BURGER KING INDIA,Food
KFC INDIA,Food
MCDONALDS INDIA,Food
SUBWAY INDIA,Food
STARBUCKS INDIA,Food
CAFE COFFEE DAY,Food
HALDIRAMS,Food
BARBEQUE NATION,Food

AMAZON INDIA,Shopping
AMAZON PAY,Shopping
FLIPKART,Shopping
MYNTRA,Shopping
AJIO,Shopping
NYKAA,Shopping
MEESHO,Shopping
TATA CLIQ,Shopping
SHOPPERS STOP,Shopping
RELIANCE DIGITAL,Shopping

ATM CASH WDL,ATM Withdrawal
ATM WITHDRAWAL,ATM Withdrawal
ATM WDL SBI,ATM Withdrawal
ATM WDL HDFC,ATM Withdrawal
CASH WITHDRAWAL ATM,ATM Withdrawal

SALARY CREDIT,Salary
MONTHLY SALARY,Salary
PAYROLL CREDIT,Salary
SALARY TRANSFER,Salary
EMPLOYER CREDIT,Salary

HP PETROL,Fuel
INDIAN OIL,Fuel
IOCL,Fuel
BHARAT PETROLEUM,Fuel
BPCL,Fuel

AIRTEL POSTPAID,Bills
JIO RECHARGE,Bills
BSNL BILL,Bills
ELECTRICITY BILL,Bills
WATER BILL,Bills
GAS BILL,Bills

UBER INDIA,Travel
OLA CABS,Travel
IRCTC BOOKING,Travel
INDIGO AIRLINES,Travel
AIR INDIA,Travel

NETFLIX,Entertainment
SPOTIFY,Entertainment
HOTSTAR,Entertainment
AMAZON PRIME,Entertainment
SONY LIV,Entertainment

APOLLO PHARMACY,Medical
MEDPLUS,Medical
PHARMACY PURCHASE,Medical
FORTIS HOSPITAL,Medical
MAX HOSPITAL,Medical

DMART,Groceries
BIG BAZAAR,Groceries
RELIANCE SMART,Groceries
MORE SUPERMARKET,Groceries
SPENCERS,Groceries

LIC PREMIUM,Insurance
HDFC LIFE,Insurance
ICICI PRUDENTIAL,Insurance
SBI LIFE,Insurance
MAX LIFE,Insurance

HOME LOAN EMI,EMI
CAR LOAN EMI,EMI
PERSONAL LOAN EMI,EMI
EMI DEBIT,EMI
CREDIT CARD EMI,EMI

ZERODHA,Investment
GROWW,Investment
UPSTOX,Investment
MUTUAL FUND SIP,Investment
NSE INVESTMENT,Investment

UPI TRANSFER,Transfer
IMPS TRANSFER,Transfer
NEFT TRANSFER,Transfer
RTGS TRANSFER,Transfer
BANK TRANSFER,Transfer

MISC PAYMENT,Others
UNKNOWN MERCHANT,Others
POS PURCHASE,Others
ONLINE PAYMENT,Others
QR PAYMENT,Others
